Bird_ID,Species,Region,Habitat,Weather_Condition,Migration_Reason,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Flight_Distance_km,Flight_Duration_hours,Average_Speed_kmph,Max_Altitude_m,Min_Altitude_m,Temperature_C,Wind_Speed_kmph,Humidity_%,Pressure_hPa,Visibility_km,Nesting_Success,Tag_Battery_Level_%,Signal_Strength_dB,Migration_Start_Month,Migration_End_Month,Rest_Stops,Predator_Sightings,Tag_Type,Migrated_in_Flock,Flock_Size,Food_Supply_Level,Tracking_Quality,Migration_Interrupted,Interrupted_Reason,Tagged_By,Tag_Weight_g,Migration_Success,Recovery_Location_Known,Recovery_Time_days,Observation_Counts,Observation_Quality,Origin,Destination
B3847,Warbler,North America,Urban,Stormy,Feeding,-47.38351777,-56.60718708,-59.91274653,103.5132713,1485.37,67,53.74,6536,627,-1.4,58.3,27,1021.4,13,Yes,64,-62.2,May,Nov,11,6,Radio,Yes,175,High,Fair,Yes,Predator,Researcher_B,20.6,Failed,No,84,94,Moderate,"-47.383517772030594, -56.60718708337421","-59.91274653339269, 103.51327134137624"
B3848,Stork,Asia,Forest,Windy,Avoid Predators,-1.207734317,163.6299791,27.85277573,153.8848819,3060.99,44,53.04,7053,536,-3.9,30.1,62,1037,20,No,56,-76.9,Mar,Nov,2,5,Radio,Yes,282,High,Poor,No,Injury,Researcher_B,17,Failed,No,76,81,Moderate,"-1.2077343173507984, 163.62997907637362","27.852775734066256, 153.88488192484618"
B3849,Goose,South America,Mountain,Rainy,Breeding,23.51350908,24.49746475,18.41024373,-59.95176392,2418.36,47,57.43,7839,711,23.5,4.1,59,1035.4,17.7,Yes,96,-73.9,Nov,May,3,1,GPS,Yes,114,Low,Good,Yes,Storm,Researcher_B,14.9,Failed,Yes,36,80,Low,"23.513509076934795, 24.497464751545493","18.410243726769536, -59.95176392140768"
B3850,Eagle,Asia,Forest,Foggy,Climate Change,30.8092236,-153.9906255,-39.24278805,170.9121026,2618.28,44.6,36.63,1259,250,-3,55.7,49,1025,16.7,Yes,15,-94.6,Jan,Oct,13,9,GPS,Yes,393,High,Excellent,No,Storm,Researcher_B,28.5,Failed,Yes,16,26,High,"30.809223595368024, -153.99062545403044","-39.24278804826177, 170.91210257252163"
B3851,Swallow,Europe,Wetland,Clear,Breeding,41.09587957,73.10407582,-19.53828342,111.4381679,2188.34,48,42.11,9633,694,25.1,27.5,43,968.8,19.4,No,59,-51.4,Oct,Oct,2,8,Radio,No,108,Low,Good,No,Injury,Researcher_C,25.7,Failed,No,70,93,Moderate,"41.095879568608666, 73.10407581641326","-19.53828342125284, 111.43816787875808"
B3852,Crane,North America,Coastal,Stormy,Avoid Predators,65.87591707,13.41984882,-38.67965557,-98.60122201,2849.45,45,55.22,4850,449,13.5,59.6,81,997.4,7.9,Yes,10,-59.3,May,Nov,6,5,Satellite,Yes,489,High,Excellent,Yes,Lost Signal,Researcher_A,25.8,Successful,No,119,17,Low,"65.87591706772997, 13.41984881638868","-38.67965556673168, -98.60122201335844"
B3853,Goose,North America,Grassland,Foggy,Climate Change,-19.28530025,26.13169819,6.671728815,31.00139964,2681.28,54,57.15,3855,626,9.1,30.2,87,985.4,16.6,Yes,35,-60.8,Sep,Oct,8,9,Radio,Yes,295,Low,Fair,Yes,Predator,Researcher_A,8.8,Failed,Yes,85,95,Low,"-19.285300253945223, 26.13169818689599","6.671728815171505, 31.00139963531481"
B3854,Warbler,Africa,Coastal,Rainy,Feeding,37.19374667,177.877528,54.65293163,173.4456293,1665.64,47.6,53.48,2353,781,29.3,25.1,87,995.8,3.6,No,22,-75.2,Feb,Dec,1,3,Satellite,Yes,305,Low,Fair,No,,Researcher_B,18.8,Successful,No,42,17,Low,"37.1937466734941, 177.8775279571674","54.652931631632015, 173.44562925648427"
B3855,Eagle,Australia,Urban,Clear,Feeding,41.7914366,-125.094858,67.95060055,125.5628926,2157.23,60.4,43.72,9513,898,30.5,4.6,93,1024.6,16.2,Yes,42,-53,May,Apr,10,0,Satellite,No,264,Low,Good,No,,Researcher_A,27.1,Successful,No,60,22,Moderate,"41.79143659864528, -125.09485801216503","67.95060054916868, 125.56289261665124"
B3856,Stork,North America,Grassland,Windy,Breeding,-35.95065658,56.4465241,40.10824678,-49.1907302,3208.72,50.1,48.44,7168,232,-0.3,7.4,38,1035.7,14.5,Yes,73,-67.2,May,Jun,5,6,GPS,Yes,83,High,Good,No,Predator,Researcher_B,17.9,Failed,No,85,67,Moderate,"-35.95065657714176, 56.44652410364122","40.108246775586565, -49.19073019572707"
B3857,Eagle,Asia,Urban,Stormy,Feeding,84.26843104,-14.853205,-2.978934989,-69.72374334,2898.78,31.9,55.15,8804,764,26,6.8,32,1015.7,1.4,No,14,-89,Oct,Nov,7,9,Satellite,No,480,Medium,Poor,No,Injury,Researcher_B,27.4,Failed,Yes,64,38,High,"84.26843103809543, -14.853204997310996","-2.9789349886908525, -69.72374334161199"
B3858,Stork,Europe,Urban,Foggy,Feeding,65.73945123,-82.11847504,82.45715105,114.9314934,2335.01,65.7,48.57,1583,605,17.3,38.4,32,951.4,2.8,Yes,97,-71.5,Feb,Oct,5,2,Radio,Yes,226,Low,Excellent,Yes,Storm,Researcher_B,16.5,Failed,No,59,46,Low,"65.73945123397115, -82.11847504032156","82.45715104564454, 114.931493369654"
B3859,Goose,South America,Wetland,Foggy,Climate Change,-37.82496083,69.676125,11.49822207,17.69947082,2341.19,58.2,49.32,8097,387,12.3,31.9,75,962.7,5.3,Yes,79,-76.2,Oct,Apr,4,1,GPS,Yes,346,Medium,Excellent,Yes,,Researcher_C,12.8,Successful,No,80,81,Low,"-37.82496083407848, 69.67612499866661","11.498222066127411, 17.69947082336546"
B3860,Stork,North America,Wetland,Foggy,Feeding,31.5123618,60.55661061,-3.861596029,-121.1606945,2056.68,61.9,57.12,1972,446,0.7,59.2,86,984.1,11.9,No,74,-76.1,Sep,Apr,12,6,Radio,Yes,98,Low,Excellent,Yes,Predator,Researcher_C,11.5,Successful,No,27,86,Moderate,"31.512361803657758, 60.55661060999995","-3.8615960294072096, -121.16069448090693"
B3861,Hawk,South America,Mountain,Foggy,Climate Change,39.2041142,128.3382389,64.21925214,-61.98027898,2084.26,47.2,52.93,4163,692,26.1,26.1,96,1040.8,2.3,Yes,91,-87.8,Oct,Oct,4,3,Satellite,No,429,Low,Good,No,Injury,Researcher_C,6.8,Failed,Yes,2,21,Low,"39.20411420267291, 128.33823892447083","64.21925213941975, -61.98027898182789"
B3862,Hawk,North America,Mountain,Clear,Climate Change,-12.33294547,136.3929247,-56.76780083,58.25267185,2600.49,70.7,50.46,6286,463,29.7,9.5,68,1010.5,19.9,Yes,94,-66.9,Sep,Jun,13,5,GPS,Yes,50,Medium,Poor,No,Injury,Researcher_A,29.4,Failed,No,87,54,Moderate,"-12.332945470431724, 136.3929246671414","-56.76780082723082, 58.252671854550925"
B3863,Hawk,Europe,Urban,Windy,Climate Change,65.47379147,22.2550031,-61.58189785,-124.8628017,3320.36,57.6,51.92,6564,186,22.8,17,73,1030.3,15.8,No,98,-82.7,Nov,Oct,2,9,Radio,No,488,Low,Excellent,No,Lost Signal,Researcher_C,13.8,Failed,No,117,7,High,"65.47379146937396, 22.255003097725705","-61.58189785159101, -124.86280170985069"
B3864,Warbler,Australia,Coastal,Rainy,Feeding,34.24128363,-62.79387622,50.85764486,71.53783467,2342.59,57.6,53.6,4567,103,2.4,48.1,57,995.9,12.2,No,19,-58.8,Jan,Jun,9,4,Satellite,Yes,435,High,Fair,No,Injury,Researcher_B,28.6,Successful,Yes,39,12,Low,"34.24128363162714, -62.79387621562172","50.85764485637793, 71.5378346664302"
B3865,Warbler,Asia,Mountain,Stormy,Breeding,28.46784333,10.64896216,66.70274947,75.57435413,2515.5,28.4,49.57,2287,372,-6.8,49.4,69,1043.2,9.4,Yes,28,-80.5,May,Jun,11,9,Radio,Yes,2,Medium,Fair,No,,Researcher_C,5.6,Failed,No,50,99,Low,"28.467843327489263, 10.648962157732228","66.70274946697126, 75.57435412833232"
B3866,Swallow,Europe,Wetland,Foggy,Breeding,-50.24873299,-50.66815439,-76.9005393,-82.53131221,2135.36,48.3,52.81,6631,294,11.6,7.1,29,977.8,9.9,Yes,33,-79.6,Sep,Oct,11,5,Radio,Yes,319,Medium,Excellent,No,Injury,Researcher_B,22.2,Failed,Yes,18,95,High,"-50.24873298875072, -50.66815438696938","-76.90053930208327, -82.53131221391799"
B3867,Warbler,South America,Mountain,Foggy,Feeding,-16.58838396,-80.15180975,47.53549829,-36.70899414,2452.57,56.5,45.67,4562,487,2.1,59.1,66,1036.3,5.9,No,83,-81.7,Feb,Apr,5,5,GPS,Yes,30,High,Poor,Yes,Storm,Researcher_C,26.2,Successful,Yes,2,94,High,"-16.588383957075152, -80.15180974933989","47.535498287441726, -36.70899414055762"
B3868,Goose,North America,Urban,Windy,Climate Change,-11.89395196,18.567136,-13.59689033,156.7622392,2671.12,53.1,54.25,5343,788,5.4,21.1,11,967.3,11.5,No,32,-60.2,Apr,Nov,11,2,Radio,Yes,254,High,Fair,No,Storm,Researcher_A,12.6,Failed,No,83,67,Low,"-11.89395195617702, 18.56713599978002","-13.596890325383312, 156.7622392456559"
B3869,Eagle,South America,Grassland,Windy,Feeding,42.05899738,56.8563027,36.67082816,89.70328361,3448.67,44.4,47.97,2575,398,4.9,21.5,45,1022.6,12.6,Yes,57,-70.1,Apr,Mar,2,1,Satellite,Yes,189,Low,Fair,Yes,Lost Signal,Researcher_B,28.7,Successful,No,41,88,Moderate,"42.05899738422372, 56.85630269870495","36.67082815813667, 89.70328361338687"
B3870,Eagle,Asia,Coastal,Clear,Avoid Predators,21.31101815,32.60566329,-65.70551951,103.611836,3086.89,22.5,45.94,7943,818,-0.5,17.1,90,1018.4,19.9,No,73,-71.1,Nov,Mar,13,8,Radio,No,75,High,Good,Yes,,Researcher_B,5.8,Successful,Yes,32,27,Moderate,"21.311018146359444, 32.60566328774189","-65.70551950833732, 103.61183600384004"
B3871,Swallow,Europe,Coastal,Clear,Breeding,-74.54509369,163.5910277,85.14229548,5.855468318,3086.77,51.9,55.98,6863,730,34.3,46.1,57,961.2,6.5,Yes,94,-71.5,Sep,Dec,5,1,GPS,Yes,381,High,Good,Yes,,Researcher_A,19.7,Failed,No,45,82,High,"-74.54509368727193, 163.59102769079504","85.14229547863508, 5.8554683180518055"
B3872,Warbler,South America,Forest,Clear,Climate Change,-34.61436866,-72.49099732,68.63045293,-103.2696249,2273.32,53.3,51.76,9264,606,28.5,56.3,66,1034.1,10.3,Yes,24,-60,Apr,Nov,4,3,Satellite,Yes,417,Medium,Excellent,No,Lost Signal,Researcher_A,12.6,Failed,Yes,41,61,High,"-34.6143686602968, -72.49099732057265","68.63045293075615, -103.26962489369582"
B3873,Stork,South America,Mountain,Stormy,Feeding,-4.851449197,-45.95699338,-16.92494491,32.85212854,2042.83,64.6,51.24,7212,590,-6.3,42.8,82,1032.8,17.2,Yes,15,-54.9,May,Apr,8,5,Radio,Yes,230,Low,Excellent,No,Storm,Researcher_A,16.6,Successful,No,54,94,High,"-4.851449196921806, -45.9569933803173","-16.924944911773494, 32.85212854206503"
B3874,Swallow,Asia,Coastal,Clear,Climate Change,42.61193025,60.35141636,70.8045887,97.95754445,2500.23,56.5,52.26,6894,860,27.7,5.7,58,1036.7,15.8,Yes,25,-72.9,Apr,Nov,5,4,Satellite,Yes,360,Medium,Excellent,No,Injury,Researcher_B,16.3,Successful,Yes,84,52,Low,"42.61193025425874, 60.35141636047933","70.80458870400386, 97.9575444540008"
B3875,Stork,North America,Wetland,Foggy,Avoid Predators,43.84244341,36.1291059,71.08663088,-178.6020249,2196.02,52,42.18,2058,327,-8.9,46.4,47,976,2.8,No,60,-85.9,Feb,May,13,7,Satellite,Yes,13,High,Excellent,Yes,Storm,Researcher_B,26.6,Successful,Yes,28,24,High,"43.84244341434135, 36.12910590129849","71.08663088474111, -178.60202487432787"
B3876,Stork,South America,Grassland,Clear,Climate Change,-1.702204457,-179.3291813,-6.974455515,-139.0405488,2279.04,51.3,53.72,2616,168,27.5,46.7,86,964.3,3.9,No,38,-63.7,Feb,Jun,7,8,GPS,No,82,Medium,Excellent,No,Predator,Researcher_C,11.2,Successful,No,94,99,Low,"-1.7022044571053812, -179.32918127854913","-6.974455515296512, -139.04054882441653"
B3877,Crane,Asia,Wetland,Stormy,Avoid Predators,-68.95217119,-67.57723133,80.43939035,-9.254118327,2637.96,51.7,49.3,5436,528,-1.2,39,46,996,3.4,Yes,19,-65.1,Jan,Nov,12,8,Radio,No,232,Low,Fair,Yes,,Researcher_B,20.3,Successful,Yes,96,74,High,"-68.95217119307803, -67.57723133037317","80.43939034850072, -9.25411832709176"
B3878,Eagle,North America,Mountain,Clear,Breeding,-37.27738739,-88.64573311,85.8342826,-22.60938692,2820.61,45.5,57.86,6627,411,11.1,11.5,82,1035.8,6.4,Yes,65,-80.9,Mar,Dec,2,1,GPS,Yes,284,High,Excellent,Yes,Predator,Researcher_A,11,Failed,No,90,81,High,"-37.27738739288897, -88.64573311129051","85.83428260499142, -22.60938692042444"
B3879,Hawk,Australia,Urban,Clear,Climate Change,-44.1553712,122.3693592,-50.90170698,173.6218965,3102.28,45.8,62.41,8945,431,4.3,30,39,1029.9,7.8,No,29,-96.9,Feb,Apr,10,7,GPS,No,298,Medium,Fair,No,Injury,Researcher_A,10.7,Failed,No,80,94,Low,"-44.155371195527536, 122.36935919256564","-50.90170698473469, 173.62189648619488"
B3880,Warbler,North America,Forest,Foggy,Feeding,50.58475386,131.8495431,-77.99999766,-146.8249558,2757.07,52.1,51.69,6326,854,16,2,62,1019,4.6,Yes,73,-78.5,Mar,May,6,3,Satellite,Yes,251,High,Poor,No,Predator,Researcher_A,18.6,Successful,No,5,10,High,"50.5847538554834, 131.84954311857445","-77.99999766379186, -146.8249557849997"
B3881,Stork,Australia,Forest,Foggy,Climate Change,-57.60246348,-77.79846923,-30.39303887,-63.47290948,2574.32,62.8,52.23,1761,612,10.1,15.3,14,1048.5,10.5,No,80,-50.3,Apr,Apr,1,1,GPS,No,272,High,Good,Yes,Storm,Researcher_C,23.4,Successful,No,103,41,High,"-57.60246347898236, -77.79846922878303","-30.39303887477471, -63.47290948243851"
B3882,Crane,Europe,Grassland,Foggy,Climate Change,-6.314179969,-143.2543847,-2.009653003,113.4397539,2092.89,58,50.95,8704,149,-8.4,40.3,29,1014.9,4.6,No,58,-83.6,Mar,Dec,7,7,Radio,No,273,Low,Poor,Yes,Lost Signal,Researcher_B,14.1,Successful,Yes,25,13,Moderate,"-6.314179968865403, -143.2543846940869","-2.009653003350209, 113.43975391662592"
B3883,Eagle,Asia,Coastal,Clear,Avoid Predators,30.72938463,-106.1272991,-73.31824823,40.47393371,3105.42,55.2,40.84,9345,539,23.8,21.8,45,1040,10.5,No,12,-67.9,Jan,Dec,13,2,GPS,Yes,18,High,Poor,No,Lost Signal,Researcher_A,5.3,Successful,Yes,86,70,Low,"30.72938463259021, -106.1272990588682","-73.31824823099625, 40.473933709091085"
B3884,Hawk,North America,Coastal,Foggy,Avoid Predators,83.66150753,-116.4353764,-64.68127965,22.18119884,2890.13,35.5,42.45,8635,430,11.7,9.6,38,995.6,7.4,No,97,-55.9,May,Apr,10,2,Satellite,No,379,High,Fair,Yes,Storm,Researcher_A,13.4,Failed,No,50,58,High,"83.66150753100666, -116.43537638913878","-64.68127965342764, 22.181198843929398"
B3885,Stork,Australia,Coastal,Windy,Feeding,89.86330444,-94.52327066,84.90584196,86.83237389,2287.25,59.7,43.73,1421,655,-0.6,6.4,96,1029.2,12.7,Yes,94,-81,Apr,Nov,8,3,Satellite,No,418,Medium,Good,Yes,Storm,Researcher_C,28.3,Failed,Yes,61,3,Low,"89.86330444039919, -94.52327065736772","84.9058419561058, 86.83237389017751"
B3886,Stork,Australia,Forest,Rainy,Breeding,81.52598584,-95.52783517,42.71410734,-165.6061162,2924.78,54,53.28,9400,123,16.8,45.9,18,1018.5,10.1,No,29,-71.8,Apr,May,7,5,Satellite,No,376,High,Excellent,No,Lost Signal,Researcher_B,25.5,Failed,Yes,16,3,High,"81.52598583997903, -95.5278351729305","42.714107338746174, -165.60611619993517"
B3887,Swallow,Europe,Urban,Rainy,Breeding,39.28362215,-7.258086396,67.48885247,161.0970114,2555.92,75,57.62,9658,284,-1.7,16.9,80,954.8,16.1,Yes,70,-68.8,Feb,Apr,8,1,Satellite,No,109,Medium,Fair,Yes,Storm,Researcher_B,13.5,Successful,No,97,84,Moderate,"39.28362214563632, -7.25808639564957","67.48885246680456, 161.0970114122004"
B3888,Swallow,Africa,Coastal,Foggy,Avoid Predators,44.35934994,-64.92910293,84.80782419,-111.1449782,3067.06,50.9,52.45,1575,639,14.5,57.8,84,987.3,6.8,Yes,75,-61,Oct,Dec,5,3,Satellite,Yes,124,Medium,Good,Yes,Lost Signal,Researcher_B,22,Successful,Yes,53,89,Low,"44.3593499439765, -64.92910293447676","84.80782419024825, -111.1449782243752"
B3889,Eagle,Asia,Wetland,Stormy,Feeding,46.65781757,21.53583031,-21.93401533,-150.5384904,2381.04,57.4,43.89,2978,590,9.3,44.3,86,1032.3,6.4,No,38,-77.6,Mar,Nov,1,5,GPS,No,82,Medium,Poor,Yes,,Researcher_A,16.3,Successful,Yes,44,18,Moderate,"46.65781756962312, 21.53583030795977","-21.934015325835404, -150.5384903510427"
B3890,Hawk,Africa,Coastal,Foggy,Climate Change,65.26887778,-56.11153524,33.81550948,-57.97671207,2399.13,55.1,39.68,4450,706,14.1,21.2,99,987.8,15.7,Yes,89,-84.5,Jan,Mar,8,0,Radio,No,9,Medium,Excellent,No,Injury,Researcher_A,16.9,Successful,No,63,28,Moderate,"65.26887777833221, -56.11153523729705","33.81550948402247, -57.97671207392918"
B3891,Stork,North America,Urban,Foggy,Feeding,81.32138331,113.2836948,-56.876041,72.84824375,1706.56,49.9,47.64,3267,452,15.8,20.6,83,979.3,3.9,No,39,-57.6,Jan,Nov,5,4,Satellite,No,476,Low,Excellent,No,Lost Signal,Researcher_B,18.2,Failed,Yes,1,55,Low,"81.32138331339743, 113.28369478749738","-56.87604100257528, 72.8482437481195"
B3892,Eagle,Asia,Grassland,Clear,Feeding,-9.772893986,162.285292,9.300096139,-96.6660294,2270.16,50.3,47.89,2823,323,-8.1,8.5,94,952.6,15.1,Yes,70,-70.4,Feb,Mar,5,6,GPS,No,351,High,Poor,Yes,Predator,Researcher_C,23.1,Failed,No,2,95,Low,"-9.772893986341046, 162.28529200214558","9.300096138957912, -96.66602940297716"
B3893,Eagle,Europe,Grassland,Stormy,Feeding,-15.02804195,-34.58935679,-52.22187396,-162.0499546,3332.42,45.5,53.88,1811,681,18.7,43,90,965.5,18.8,No,54,-82.9,Jan,Dec,3,8,GPS,Yes,168,High,Poor,No,Predator,Researcher_A,26.9,Successful,No,1,9,Low,"-15.028041952417157, -34.5893567921911","-52.22187396356578, -162.04995463321126"
B3894,Goose,North America,Forest,Foggy,Breeding,-7.116396772,-162.1913275,-61.12242668,-159.3313753,3834.6,56.4,55.45,4156,264,3.5,29.7,70,965.8,2.6,Yes,17,-62.6,Sep,Oct,8,1,Satellite,No,81,High,Fair,Yes,Storm,Researcher_A,24.1,Failed,No,103,80,Moderate,"-7.116396771846468, -162.19132747684023","-61.12242667815087, -159.3313752596729"
B3895,Warbler,Asia,Urban,Windy,Climate Change,28.76709086,-93.75183095,-72.28014629,-87.63227276,2723.16,37.6,50.84,3028,407,5.3,49.4,70,1043.1,15.4,No,87,-64.6,Apr,May,7,6,GPS,No,359,Low,Good,Yes,Storm,Researcher_B,29.9,Successful,No,45,64,Moderate,"28.767090862186947, -93.75183094757782","-72.28014628950746, -87.63227276359231"
B3896,Swallow,Asia,Wetland,Rainy,Feeding,49.58017133,-143.3310609,14.35258126,-131.301412,2253.53,78.4,44.25,7560,255,24.8,16.6,79,963.3,11.2,No,34,-51.8,May,Nov,8,8,GPS,No,94,Low,Excellent,Yes,Injury,Researcher_A,26.1,Failed,Yes,78,90,High,"49.580171329997626, -143.331060886905","14.352581261527746, -131.30141200109267"
B3897,Hawk,Africa,Urban,Windy,Breeding,66.69799036,-55.88499247,80.97321588,-45.92408023,2363.01,49.2,50.31,2906,559,-1.8,20.4,27,998.9,4.4,No,35,-82.3,Sep,Dec,12,2,Radio,Yes,280,High,Poor,Yes,Lost Signal,Researcher_C,6.6,Successful,Yes,3,85,Moderate,"66.69799036223924, -55.884992467353584","80.97321588006935, -45.92408022661289"
B3898,Stork,North America,Wetland,Windy,Breeding,-7.882064229,52.2411243,-68.00007693,-117.6936897,2476.3,45.2,40.19,3469,587,5.2,28.7,81,1027.6,12.9,Yes,67,-76.8,Nov,Nov,13,0,Satellite,Yes,433,Low,Good,No,Storm,Researcher_C,12.6,Failed,No,63,23,Low,"-7.882064229130989, 52.241124304861046","-68.00007692681223, -117.69368974219512"
B3899,Eagle,Europe,Wetland,Windy,Avoid Predators,-24.59292729,6.80684722,0.416601968,-56.04683843,2334.84,48.5,48.67,2476,198,-6.9,42.4,65,999.3,4.9,Yes,22,-66.4,Nov,Nov,10,5,GPS,Yes,465,Medium,Excellent,Yes,,Researcher_B,13.6,Successful,Yes,41,61,High,"-24.5929272875767, 6.806847220023826","0.4166019684654998, -56.04683843372527"
B3900,Stork,Europe,Urban,Stormy,Climate Change,87.00347065,-92.56475591,33.67226111,-19.98463291,2895.32,60,55.92,1705,457,33.5,51.7,69,991.3,14.9,No,31,-55.3,Apr,Apr,13,0,GPS,No,23,Medium,Poor,Yes,Injury,Researcher_A,9.4,Successful,No,115,15,Moderate,"87.00347064640076, -92.56475591005017","33.67226110766232, -19.984632908581037"
B3901,Goose,North America,Mountain,Stormy,Feeding,-48.26022822,96.21325895,-0.744897474,87.31411497,1812.64,57.5,49.28,6861,593,0.2,57.2,96,1040.5,15.7,Yes,96,-54.5,Sep,Nov,3,9,Radio,Yes,47,High,Excellent,Yes,Lost Signal,Researcher_C,18.8,Successful,Yes,64,8,Moderate,"-48.26022821869928, 96.2132589513564","-0.7448974739743903, 87.31411497023072"
B3902,Hawk,North America,Urban,Stormy,Climate Change,-50.03912965,-132.6669374,74.11966639,-98.13617033,2515.89,50.2,56.55,5503,323,29.4,2.9,45,1039.8,8.2,Yes,12,-60.3,Jan,Oct,12,7,GPS,Yes,317,Medium,Poor,Yes,Storm,Researcher_B,28,Successful,Yes,52,40,Moderate,"-50.03912965455409, -132.66693742329753","74.11966638844856, -98.13617032602208"
B3903,Eagle,Australia,Wetland,Rainy,Avoid Predators,38.77334187,-97.84944896,-60.06678288,-8.977041389,3416.09,46.3,48.01,9111,634,17.1,50.7,42,1034.4,13.4,Yes,15,-77,Jan,Jun,14,7,Satellite,Yes,258,High,Good,Yes,Injury,Researcher_B,20.3,Failed,No,14,8,Low,"38.7733418687692, -97.8494489551076","-60.06678288158838, -8.977041388763354"
B3904,Stork,South America,Coastal,Clear,Avoid Predators,-57.66168679,63.37697421,-85.65061302,113.5278693,3022.49,40,52.49,7196,656,9.3,7.6,58,998.9,14.7,Yes,17,-77,Feb,Mar,13,8,Satellite,No,178,Medium,Excellent,Yes,Storm,Researcher_A,18,Successful,No,64,71,Low,"-57.66168679152438, 63.37697421336293","-85.65061301863275, 113.52786930404358"
B3905,Swallow,Africa,Grassland,Foggy,Feeding,-18.10638005,-108.9956208,-21.03873806,175.0957882,3523.21,50,42.89,4247,875,16.1,58.9,77,1006.9,11.5,No,78,-66.9,Sep,Nov,6,2,Radio,No,238,High,Poor,No,Lost Signal,Researcher_B,22.3,Failed,Yes,99,11,Low,"-18.10638004569796, -108.99562079200794","-21.03873805815725, 175.09578823706744"
B3906,Warbler,North America,Grassland,Foggy,Breeding,-37.37037198,64.35457772,9.987985584,20.63022123,2434.89,54.2,52.05,6478,526,15.5,2.6,55,968.1,13.7,Yes,30,-91.2,Nov,May,7,8,Satellite,Yes,50,High,Excellent,No,Storm,Researcher_B,28.2,Failed,No,68,12,Low,"-37.37037198343465, 64.35457771629214","9.987985584320556, 20.63022123475201"
B3907,Goose,North America,Forest,Clear,Avoid Predators,-59.63211778,171.6988861,-44.18872355,-24.36466778,2180.16,28.8,49.68,4325,734,16.9,18.7,64,1035.6,19.7,Yes,99,-53.8,Sep,Mar,9,6,Radio,No,406,Medium,Poor,Yes,,Researcher_C,20.7,Successful,No,37,98,Moderate,"-59.63211778374925, 171.698886106614","-44.188723546541055, -24.36466777785111"
B3908,Hawk,South America,Grassland,Foggy,Breeding,14.34730304,119.2871834,-59.68196141,47.3519265,2659.16,60.1,47.9,9602,404,5.2,59.9,69,968.4,11.5,Yes,61,-63.1,Oct,Mar,5,9,Radio,No,319,Medium,Good,No,Lost Signal,Researcher_B,28,Successful,No,95,14,High,"14.347303037620849, 119.28718339061516","-59.68196140921795, 47.35192650433586"
B3909,Goose,South America,Mountain,Windy,Avoid Predators,-22.76793166,-122.3962055,54.87080949,-4.9335622,2118.58,55.7,56.06,5071,394,29.8,14.9,83,967.6,13.9,No,96,-52.2,Feb,May,4,6,GPS,No,125,Low,Excellent,Yes,Storm,Researcher_B,10.7,Successful,No,33,90,Low,"-22.76793166416681, -122.39620546934742","54.87080948599814, -4.933562200314015"
B3910,Swallow,Asia,Wetland,Rainy,Climate Change,-6.797848887,7.379431741,-56.05646542,-120.6876087,2243,47.4,52.47,7594,305,25.1,51.3,84,1046.9,18.7,No,55,-79.9,Feb,Mar,12,0,Satellite,No,299,Medium,Excellent,No,Injury,Researcher_A,19.2,Failed,Yes,50,12,Moderate,"-6.797848887279713, 7.379431741171288","-56.05646542495416, -120.68760868436624"
B3911,Hawk,Europe,Urban,Foggy,Feeding,-54.74465913,-27.96423716,-10.31720257,-14.59901445,2395.48,50.8,48.02,5173,331,34,50.1,26,985.4,16.9,No,73,-78.6,Nov,May,9,7,Radio,Yes,435,High,Poor,Yes,Injury,Researcher_B,6.2,Failed,No,4,38,Low,"-54.74465913140712, -27.96423716430553","-10.317202568570764, -14.599014453339151"
B3912,Goose,Africa,Urban,Rainy,Avoid Predators,48.21602448,177.0009888,81.8065999,172.4761101,3113.76,41.9,56.51,4171,729,27.5,15.9,90,1046,8.4,Yes,27,-54,Oct,Nov,12,8,Satellite,No,45,Medium,Poor,No,Lost Signal,Researcher_C,24.7,Successful,No,59,60,Low,"48.21602448091619, 177.00098876402296","81.80659989867709, 172.47611013118586"
B3913,Crane,Asia,Mountain,Clear,Climate Change,-33.35182498,167.1842526,20.28687006,50.55431268,2970.44,51.7,60.54,7884,719,6.3,30.3,85,1043.8,15.3,No,36,-72.6,May,May,10,2,Radio,No,280,Medium,Fair,No,Injury,Researcher_C,6.4,Failed,No,99,71,High,"-33.351824978865764, 167.1842526266098","20.286870060533783, 50.55431267686316"
B3914,Swallow,North America,Grassland,Foggy,Avoid Predators,-28.31072778,-134.239661,-0.409778504,-77.96438679,2757.34,30,44.41,6717,747,4.3,4.6,11,1040.4,11,Yes,48,-62.8,Feb,Apr,7,6,Satellite,No,210,Low,Poor,Yes,Injury,Researcher_B,13.8,Failed,No,56,63,Moderate,"-28.310727775158213, -134.23966100247424","-0.4097785039888748, -77.96438679406319"
B3915,Swallow,South America,Wetland,Rainy,Feeding,-44.61228682,147.1431139,-25.15495812,160.9725623,2552.47,60.5,48.38,9216,454,11,8.2,14,1041,4.6,No,91,-91.3,Feb,Oct,8,9,GPS,Yes,76,High,Fair,No,,Researcher_A,29.8,Failed,No,29,80,Moderate,"-44.61228682197972, 147.14311392588002","-25.15495811889194, 160.972562291631"
