Latitude,Longitude,Species,Observation_Counts,Sightings
-44.61,147.14,Swallow,80,1
-44.59,132.56,Stork,34,1
-44.58,43.15,Goose,70,1
-44.55,104.21,Stork,83,1
-44.54,44.97,Swallow,44,1
-44.52,-68.3,Stork,47,1
-44.51,-117.63,Stork,86,1
-44.44,-21.5,Stork,88,1
-44.44,-6.0,Crane,64,1
-44.43,-67.63,Stork,54,1
-44.43,53.17,Eagle,81,1
-44.42,169.7,Goose,62,1
-44.41,158.19,Crane,86,1
-44.4,-60.61,Goose,78,1
-44.4,146.56,Swallow,77,1
-44.36,-124.46,Stork,16,1
-44.33,-91.68,Stork,63,1
-44.32,-57.2,Crane,52,1
-44.31,10.34,Goose,40,1
-44.3,-12.93,Goose,44,1
-44.29,109.69,Warbler,94,1
-44.24,78.61,Swallow,24,1
-44.17,37.66,Crane,26,1
-44.16,122.37,Hawk,94,1
-44.16,143.27,Stork,77,1
-44.15,6.99,Stork,83,1
-44.15,88.95,Hawk,23,1
-44.15,132.15,Crane,23,1
-44.12,-114.35,Hawk,79,1
-44.09,-170.55,Crane,61,1
-44.05,-139.82,Warbler,19,1
-44.05,103.41,Swallow,50,1
-44.04,-128.34,Crane,76,1
-44.04,-14.05,Hawk,33,1
-44.03,121.0,Crane,39,1
-44.02,-141.38,Stork,1,1
-43.98,-28.3,Hawk,46,1
-43.98,151.77,Swallow,68,1
-43.97,110.73,Stork,20,1
-43.97,160.56,Warbler,8,1
-43.95,21.05,Hawk,40,1
-43.95,109.99,Eagle,57,1
-43.95,151.43,Goose,19,1
-43.94,-40.6,Eagle,73,1
-43.94,96.02,Stork,59,1
-43.91,-49.03,Crane,29,1
-43.91,31.62,Warbler,49,1
-43.9,-142.78,Crane,20,1
-43.85,-155.65,Warbler,5,1
-43.84,-60.66,Warbler,20,1
-43.82,-172.0,Swallow,13,1
-43.81,133.36,Goose,14,1
-43.81,159.57,Stork,40,1
-43.79,171.75,Warbler,74,1
-43.77,-145.12,Goose,11,1
-43.76,16.71,Stork,31,1
-43.71,153.73,Eagle,80,1
-43.7,46.79,Crane,74,1
-43.68,-21.7,Goose,12,1
-43.68,8.76,Goose,56,1
-43.67,-169.53,Warbler,10,1
-43.67,103.12,Goose,69,1
-43.66,51.05,Goose,19,1
-43.65,78.86,Stork,34,1
-43.62,-156.38,Crane,79,1
-43.62,-1.01,Eagle,98,1
-43.61,-93.2,Warbler,37,1
-43.61,154.81,Goose,32,1
-43.6,-25.22,Swallow,48,1
-43.59,-5.77,Eagle,16,1
-43.52,-18.21,Hawk,35,1
-43.52,23.03,Swallow,4,1
-43.51,-80.19,Warbler,17,1
-43.48,-112.95,Crane,53,1
-43.47,-95.17,Warbler,18,1
-43.45,-17.68,Stork,82,1
-43.45,153.22,Eagle,8,1
-43.44,104.36,Stork,72,1
-43.44,125.53,Goose,57,1
-43.41,-18.04,Crane,51,1
-43.39,-0.33,Warbler,22,1
-43.35,120.96,Crane,19,1
-43.32,-28.11,Eagle,89,1
-43.3,-110.0,Swallow,95,1
-43.29,-157.43,Crane,3,1
-43.26,-68.4,Swallow,11,1
-43.25,65.35,Warbler,74,1
-43.25,131.84,Swallow,8,1
-43.24,0.39,Swallow,46,1
-43.22,80.37,Eagle,49,1
-43.21,-167.23,Stork,51,1
-43.21,13.91,Eagle,82,1
-43.18,154.55,Stork,43,1
-43.16,155.37,Eagle,82,1
-43.15,-93.58,Crane,19,1
-43.15,-39.15,Swallow,94,1
-43.15,-13.82,Crane,16,1
-43.14,36.42,Swallow,53,1
-43.11,-105.21,Stork,8,1
-43.09,-61.01,Goose,22,1
-43.09,9.02,Hawk,56,1
-43.09,111.34,Goose,74,1
-43.07,-122.41,Crane,91,1
-43.06,-139.79,Stork,83,1
-43.06,172.71,Stork,81,1
-43.05,99.24,Goose,88,1
-43.03,-169.65,Goose,61,1
-43.02,-117.11,Swallow,48,1
-43.02,-35.45,Eagle,39,1
-43.01,-72.72,Stork,4,1
-43.0,-81.93,Goose,85,1
-43.0,-64.66,Warbler,80,1
-42.97,-96.16,Goose,68,1
-42.95,-120.22,Hawk,36,1
-42.95,17.55,Crane,92,1
-42.9,-118.96,Warbler,26,1
-42.88,-87.65,Stork,43,1
-42.88,93.97,Stork,27,1
-42.86,-158.77,Eagle,27,1
-42.8,-116.43,Eagle,72,1
-42.75,-88.49,Warbler,49,1
-42.75,-68.28,Hawk,36,1
-42.74,44.3,Stork,70,1
-42.7,-90.12,Swallow,20,1
-42.67,33.38,Eagle,53,1
-42.62,16.73,Stork,32,1
-42.61,66.53,Crane,49,1
-42.59,12.62,Hawk,2,1
-42.59,20.53,Eagle,87,1
-42.58,-130.88,Crane,97,1
-42.57,67.29,Eagle,95,1
-42.54,-88.47,Warbler,97,1
-42.54,97.7,Crane,14,1
-42.53,48.35,Warbler,34,1
-42.52,-77.78,Crane,45,1
-42.52,1.61,Warbler,78,1
-42.5,-176.45,Swallow,67,1
-42.48,66.35,Goose,73,1
-42.46,105.9,Goose,6,1
-42.45,14.07,Goose,22,1
-42.43,139.15,Crane,26,1
-42.43,174.6,Goose,37,1
-42.42,16.82,Goose,17,1
-42.4,179.26,Eagle,41,1
-42.39,149.05,Crane,19,1
-42.37,139.01,Goose,38,1
-42.35,-109.57,Swallow,2,1
-42.32,122.23,Eagle,23,1
-42.27,-159.18,Hawk,52,1
-42.26,-51.17,Swallow,82,1
-42.26,43.39,Goose,16,1
-42.26,67.91,Eagle,90,1
-42.25,-141.65,Goose,77,1
-42.25,91.77,Swallow,22,1
-42.23,-165.7,Warbler,72,1
-42.18,109.02,Warbler,82,1
-42.17,144.27,Swallow,78,1
-42.16,-148.84,Stork,46,1
-42.14,-78.72,Goose,9,1
-42.13,157.28,Hawk,2,1
-42.12,121.64,Hawk,41,1
-42.1,32.26,Warbler,68,1
-42.08,83.02,Warbler,12,1
-42.07,-145.65,Hawk,46,1
-42.07,40.92,Stork,39,1
-42.07,92.59,Warbler,38,1
-42.06,-57.51,Swallow,15,1
-42.06,-45.01,Warbler,96,1
-42.05,-179.48,Swallow,19,1
-42.05,-86.85,Swallow,29,1
-42.04,-48.85,Stork,78,1
-42.04,-5.12,Crane,98,1
-42.03,125.13,Swallow,92,1
-42.02,-19.29,Crane,94,1
-41.97,35.85,Hawk,55,1
-41.96,83.57,Goose,68,1
-41.95,-0.89,Stork,32,1
-41.94,93.16,Stork,53,1
-41.91,-29.91,Hawk,6,1
-41.87,-95.53,Crane,98,1
-41.79,157.32,Swallow,52,1
-41.78,-2.77,Goose,41,1
-41.76,91.75,Stork,99,1
-41.71,136.95,Eagle,52,1
-41.69,146.97,Eagle,55,1
-41.68,-40.77,Swallow,94,1
-41.61,-63.47,Warbler,28,1
-41.61,128.25,Eagle,34,1
-41.6,115.42,Hawk,6,1
-41.58,85.34,Goose,3,1
-41.54,0.1,Goose,9,1
-41.52,-136.15,Eagle,52,1
-41.5,-172.87,Crane,8,1
-41.48,89.64,Hawk,1,1
-41.47,73.81,Warbler,95,1
-41.46,-129.02,Stork,63,1
-41.46,129.84,Eagle,10,1
-41.44,-20.69,Stork,61,1
-41.43,-102.99,Hawk,91,1
-41.43,51.11,Goose,84,1
-41.4,67.21,Hawk,10,1
-41.38,32.52,Crane,86,1
-41.37,-134.67,Goose,15,1
-41.37,-67.09,Warbler,46,1
-41.34,-160.39,Eagle,68,1
-41.33,78.1,Swallow,55,1
-41.31,106.07,Crane,13,1
-41.31,170.42,Stork,88,1
-41.25,65.4,Eagle,30,1
-41.24,71.88,Goose,19,1
-41.22,-148.51,Warbler,60,1
-41.15,84.84,Crane,18,1
-41.14,-173.41,Crane,43,1
-41.14,-62.13,Stork,81,1
-41.13,-145.41,Goose,56,1
-41.13,3.66,Hawk,12,1
-41.11,-67.48,Eagle,53,1
-41.03,-74.32,Crane,78,1
-41.02,152.81,Swallow,40,1
-41.0,-22.56,Goose,37,1
-40.98,176.42,Warbler,92,1
-40.97,-103.97,Crane,18,1
-40.97,-26.86,Stork,94,1
-40.9,-110.48,Warbler,91,1
-40.86,153.02,Crane,12,1
-40.85,-19.24,Warbler,55,1
-40.82,-57.09,Goose,23,1
-40.81,-93.15,Crane,81,1
-40.78,-123.98,Hawk,59,1
-40.78,-92.27,Hawk,6,1
-40.73,103.95,Goose,50,1
-40.71,90.98,Warbler,80,1
-40.7,-92.1,Crane,24,1
-40.7,-74.72,Crane,15,1
-40.69,31.27,Warbler,16,1
-40.66,-89.1,Crane,69,1
-40.64,-16.9,Hawk,21,1
-40.59,-133.81,Swallow,97,1
-40.59,-14.89,Eagle,49,1
-40.57,150.82,Eagle,93,1
-40.56,-134.79,Hawk,3,1
-40.54,-26.68,Goose,77,1
-40.53,161.13,Eagle,29,1
-40.46,154.4,Warbler,44,1
-40.43,122.55,Stork,65,1
-40.39,-169.99,Swallow,33,1
-40.39,-51.63,Goose,20,1
-40.39,157.47,Crane,48,1
-40.37,-90.84,Swallow,96,1
-40.31,-136.12,Hawk,84,1
-40.31,-120.37,Crane,65,1
-40.31,134.47,Swallow,82,1
-40.27,-112.51,Goose,74,1
-40.26,51.13,Crane,65,1
-40.26,110.49,Goose,52,1
-40.26,152.51,Stork,61,1
-40.24,86.22,Eagle,99,1
-40.22,126.39,Eagle,33,1
-40.19,-124.23,Stork,58,1
-40.14,-60.91,Goose,44,1
-40.14,79.44,Warbler,72,1
-40.11,6.71,Warbler,46,1
-40.1,-113.66,Swallow,45,1
-40.1,129.95,Crane,9,1
-40.1,164.79,Hawk,95,1
-40.09,-172.57,Goose,91,1
-40.08,-125.73,Warbler,5,1
-40.03,102.76,Hawk,64,1
-39.99,-68.14,Swallow,3,1
-39.99,134.24,Warbler,34,1
-39.9,119.96,Stork,59,1
-39.88,-21.73,Swallow,56,1
-39.88,144.24,Warbler,56,1
-39.86,65.27,Warbler,69,1
-39.85,70.6,Warbler,2,1
-39.84,-90.58,Eagle,18,1
-39.8,174.78,Crane,23,1
-39.79,-24.08,Swallow,66,1
-39.78,156.22,Goose,65,1
-39.77,174.77,Swallow,72,1
-39.76,-54.77,Swallow,57,1
-39.75,41.53,Goose,38,1
-39.74,60.32,Eagle,50,1
-39.67,-104.04,Hawk,46,1
-39.67,14.16,Hawk,24,1
-39.65,91.76,Goose,78,1
-39.62,77.73,Swallow,38,1
-39.58,24.01,Warbler,77,1
-39.56,153.63,Warbler,69,1
-39.53,143.14,Hawk,40,1
-39.51,70.16,Hawk,72,1
-39.49,-86.96,Swallow,69,1
-39.48,140.45,Swallow,5,1
-39.46,-155.9,Crane,39,1
-39.42,-124.69,Crane,98,1
-39.42,4.8,Crane,9,1
-39.41,36.91,Crane,21,1
-39.39,-104.25,Stork,89,1
-39.39,-98.47,Goose,54,1
-39.38,39.29,Stork,67,1
-39.37,-132.48,Goose,9,1
-39.35,-123.06,Warbler,84,1
-39.32,91.77,Crane,16,1
-39.29,158.28,Warbler,58,1
-39.28,-164.92,Hawk,40,1
-39.28,-11.3,Crane,88,1
-39.28,13.98,Hawk,75,1
-39.26,-71.64,Crane,82,1
-39.23,72.09,Goose,21,1
-39.18,-46.68,Swallow,35,1
-39.18,-1.56,Swallow,42,1
-39.16,-29.83,Stork,93,1
-39.15,-35.66,Eagle,31,1
-39.12,3.04,Swallow,9,1
-39.11,-155.02,Goose,85,1
-39.1,-171.92,Stork,32,1
-39.1,-152.07,Hawk,7,1
-39.1,-52.34,Hawk,60,1
-39.08,141.25,Crane,31,1
-39.03,-149.35,Crane,42,1
-39.03,-74.52,Hawk,74,1
-39.02,-51.49,Stork,79,1
-38.97,-153.47,Hawk,90,1
-38.94,-163.74,Stork,53,1
-38.9,-31.94,Crane,7,1
-38.88,-149.28,Swallow,70,1
-38.86,-138.78,Crane,46,1
-38.85,-65.04,Stork,26,1
-38.85,169.91,Warbler,74,1
-38.83,-161.44,Eagle,95,1
-38.8,-59.04,Goose,59,1
-38.79,-148.89,Eagle,44,1
-38.79,71.17,Hawk,34,1
-38.76,-38.99,Stork,69,1
-38.74,51.15,Stork,41,1
-38.73,60.58,Goose,33,1
-38.72,46.24,Stork,96,1
-38.72,82.73,Goose,58,1
-38.69,132.88,Eagle,41,1
-38.69,150.57,Stork,81,1
-38.64,35.12,Swallow,62,1
-38.63,-45.43,Warbler,76,1
-38.63,-31.75,Hawk,65,1
-38.6,128.77,Warbler,88,1
-38.6,173.19,Crane,57,1
-38.58,-133.2,Eagle,48,1
-38.55,31.18,Swallow,4,1
-38.53,-96.42,Swallow,71,1
-38.52,83.93,Warbler,99,1
-38.47,-178.28,Stork,59,1
-38.45,-139.09,Hawk,36,1
-38.42,-106.7,Warbler,31,1
-38.42,-43.39,Crane,92,1
-38.41,19.14,Eagle,53,1
-38.4,-67.67,Crane,51,1
-38.38,-157.01,Goose,86,1
-38.37,-160.15,Warbler,82,1
-38.37,-60.24,Eagle,33,1
-38.36,-139.91,Hawk,35,1
-38.34,7.41,Swallow,19,1
-38.32,-156.2,Swallow,7,1
-38.31,175.3,Eagle,97,1
-38.27,105.24,Crane,6,1
-38.22,-169.34,Crane,99,1
-38.22,-108.14,Crane,65,1
-38.22,50.55,Goose,89,1
-38.2,-112.52,Hawk,7,1
-38.1,-17.47,Warbler,84,1
-38.1,155.6,Eagle,70,1
-38.09,150.13,Goose,73,1
-38.07,-2.54,Eagle,77,1
-38.03,145.76,Stork,44,1
-38.02,-46.68,Hawk,67,1
-38.01,-37.26,Eagle,33,1
-38.01,46.44,Hawk,92,1
-37.99,-19.0,Eagle,98,1
-37.95,-142.49,Eagle,18,1
-37.95,-96.29,Hawk,51,1
-37.93,159.65,Warbler,84,1
-37.93,162.79,Hawk,88,1
-37.9,-50.58,Warbler,28,1
-37.87,-19.35,Swallow,58,1
-37.85,112.14,Eagle,17,1
-37.82,69.68,Goose,81,1
-37.81,105.15,Eagle,93,1
-37.8,-86.27,Goose,67,1
-37.79,-41.53,Eagle,79,1
-37.74,-126.5,Warbler,2,1
-37.71,-70.65,Hawk,41,1
-37.68,59.34,Stork,79,1
-37.66,-130.93,Eagle,49,1
-37.66,154.59,Eagle,94,1
-37.62,-143.34,Warbler,84,1
-37.62,59.45,Warbler,25,1
-37.61,-104.91,Hawk,70,1
-37.59,-51.78,Goose,23,1
-37.57,-100.56,Crane,38,1
-37.56,96.77,Swallow,79,1
-37.53,-74.02,Swallow,53,1
-37.47,127.77,Stork,6,1
-37.45,50.79,Swallow,23,1
-37.44,-92.35,Stork,46,1
-37.44,53.53,Warbler,74,1
-37.43,-166.65,Swallow,34,1
-37.43,138.56,Crane,47,1
-37.42,163.52,Eagle,71,1
-37.38,-167.32,Eagle,8,1
-37.38,13.79,Warbler,97,1
-37.37,-116.46,Crane,67,1
-37.37,64.35,Warbler,12,1
-37.37,105.43,Hawk,83,1
-37.32,-100.68,Warbler,90,1
-37.3,63.26,Swallow,78,1
-37.28,-88.65,Eagle,81,1
-37.25,112.63,Eagle,88,1
-37.2,-2.71,Goose,61,1
-37.2,15.79,Stork,25,1
-37.19,-105.56,Stork,89,1
-37.18,29.1,Crane,27,1
-37.15,176.33,Swallow,77,1
-37.13,-123.71,Eagle,47,1
-37.12,-85.69,Goose,26,1
-37.12,-9.62,Stork,2,1
-37.12,59.49,Eagle,27,1
-37.11,-94.75,Stork,3,1
-37.1,-89.79,Stork,26,1
-37.08,-170.94,Warbler,70,1
-37.08,-80.56,Hawk,88,1
-37.08,-34.74,Warbler,33,1
-37.08,37.32,Crane,14,1
-37.07,-119.8,Eagle,83,1
-37.05,-92.04,Hawk,11,1
-37.02,-133.37,Warbler,24,1
-37.01,-178.7,Hawk,80,1
-37.01,27.16,Goose,19,1
-36.95,-147.7,Goose,72,1
-36.94,-134.42,Swallow,19,1
-36.94,86.57,Swallow,26,1
-36.93,50.92,Stork,54,1
-36.92,-111.35,Eagle,72,1
-36.91,-67.39,Stork,45,1
-36.91,-23.67,Goose,62,1
-36.89,142.12,Warbler,24,1
-36.88,73.3,Goose,58,1
-36.88,140.28,Hawk,82,1
-36.86,-66.28,Eagle,27,1
-36.86,53.16,Eagle,34,1
-36.84,-174.59,Warbler,52,1
-36.84,21.57,Warbler,27,1
-36.84,101.81,Hawk,15,1
-36.83,-144.06,Goose,65,1
-36.83,-77.17,Stork,65,1
-36.83,25.58,Stork,21,1
-36.82,53.51,Warbler,87,1
-36.79,161.55,Hawk,10,1
-36.76,-151.09,Stork,79,1
-36.76,-35.74,Eagle,72,1
-36.75,-104.2,Crane,29,1
-36.74,-45.23,Warbler,20,1
-36.74,56.91,Stork,62,1
-36.74,77.8,Warbler,13,1
-36.73,-0.87,Stork,59,1
-36.7,-12.83,Warbler,36,1
-36.65,107.32,Swallow,31,1
-36.63,-15.49,Goose,47,1
-36.62,-64.17,Eagle,48,1
-36.6,-7.55,Goose,64,1
-36.6,19.83,Swallow,61,1
-36.6,179.43,Swallow,77,1
-36.54,73.91,Crane,68,1
-36.46,-77.4,Stork,53,1
-36.46,14.51,Swallow,83,1
-36.45,36.31,Stork,78,1
-36.41,-64.34,Hawk,69,1
-36.41,-14.61,Eagle,58,1
-36.37,-124.98,Hawk,8,1
-36.35,-163.96,Eagle,85,1
-36.33,23.58,Warbler,46,1
-36.33,52.72,Goose,16,1
-36.31,49.25,Eagle,37,1
-36.28,-24.71,Swallow,63,1
-36.28,43.58,Hawk,60,1
-36.2,125.01,Eagle,45,1
-36.17,-60.91,Swallow,52,1
-36.16,139.29,Stork,26,1
-36.13,-7.83,Hawk,94,1
-36.1,-12.56,Swallow,97,1
-36.09,-136.89,Hawk,37,1
-36.09,90.63,Swallow,62,1
-36.08,106.56,Swallow,46,1
-36.05,-61.42,Goose,11,1
-36.05,-42.67,Swallow,6,1
-36.02,50.51,Stork,61,1
-36.0,90.92,Warbler,3,1
-35.99,-49.04,Warbler,44,1
-35.98,93.42,Stork,31,1
-35.96,-172.88,Eagle,23,1
-35.96,-12.57,Swallow,8,1
-35.95,56.45,Stork,67,1
-35.95,99.62,Swallow,90,1
-35.94,-85.48,Eagle,62,1
-35.9,-142.8,Goose,67,1
-35.84,77.99,Stork,43,1
-35.84,114.01,Stork,29,1
-35.83,-26.79,Goose,96,1
-35.82,-92.97,Warbler,17,1
-35.79,139.64,Hawk,43,1
-35.74,-146.3,Hawk,14,1
-35.74,2.83,Goose,27,1
-35.73,42.5,Hawk,88,1
-35.72,-149.63,Crane,57,1
-35.71,22.54,Stork,6,1
-35.65,15.0,Warbler,69,1
-35.65,61.33,Stork,6,1
-35.64,-104.04,Warbler,80,1
-35.63,80.75,Warbler,57,1
-35.61,19.03,Warbler,64,1
-35.59,179.7,Hawk,18,1
-35.55,7.32,Goose,64,1
-35.51,161.67,Swallow,70,1
-35.49,22.9,Hawk,77,1
-35.46,-119.22,Stork,27,1
-35.46,-70.61,Hawk,28,1
-35.38,59.77,Eagle,93,1
-35.35,-29.72,Eagle,93,1
-35.34,3.25,Goose,59,1
-35.34,171.06,Warbler,4,1
-35.31,4.05,Goose,97,1
-35.31,44.14,Warbler,48,1
-35.29,-110.48,Goose,78,1
-35.29,-80.49,Warbler,40,1
-35.28,-178.26,Warbler,46,1
-35.24,60.89,Warbler,2,1
-35.22,-63.17,Eagle,49,1
-35.22,146.88,Eagle,43,1
-35.18,-33.9,Stork,21,1
-35.17,88.23,Swallow,31,1
-35.17,133.17,Swallow,91,1
-35.14,20.34,Swallow,70,1
-35.13,-163.33,Goose,98,1
-35.11,-154.93,Crane,98,1
-35.11,157.27,Swallow,41,1
-35.1,-80.75,Stork,17,1
-35.1,72.06,Warbler,62,1
-35.09,116.7,Crane,38,1
-35.08,35.75,Crane,60,1
-35.07,-11.24,Goose,91,1
-35.07,148.04,Swallow,49,1
-35.05,57.71,Goose,18,1
-35.02,-157.89,Eagle,15,1
-35.02,14.68,Hawk,48,1
-34.98,146.14,Eagle,38,1
-34.97,-67.56,Eagle,8,1
-34.95,-173.7,Stork,16,1
-34.92,-26.68,Hawk,65,1
-34.91,-134.72,Goose,86,1
-34.89,-117.32,Warbler,6,1
-34.85,14.38,Goose,37,1
-34.85,175.29,Swallow,64,1
-34.84,136.02,Hawk,84,1
-34.8,-162.67,Hawk,88,1
-34.8,-161.68,Goose,30,1
-34.77,2.48,Stork,60,1
-34.72,-52.61,Hawk,32,1
-34.69,-46.41,Swallow,85,1
-34.67,177.95,Warbler,77,1
-34.64,-133.71,Stork,94,1
-34.64,102.71,Warbler,61,1
-34.62,-74.28,Crane,97,1
-34.61,-72.49,Warbler,61,1
-34.59,140.68,Stork,78,1
-34.56,-157.36,Stork,57,1
-34.56,82.09,Warbler,18,1
-34.52,60.4,Hawk,80,1
-34.51,-67.38,Eagle,75,1
-34.51,-40.18,Eagle,6,1
-34.5,91.21,Crane,29,1
-34.47,-99.99,Stork,74,1
-34.45,-7.24,Warbler,66,1
-34.42,-52.44,Hawk,82,1
-34.4,-59.69,Goose,44,1
-34.35,-36.5,Eagle,75,1
-34.29,-161.94,Swallow,76,1
-34.28,-140.58,Stork,62,1
-34.23,-62.7,Goose,54,1
-34.21,-22.69,Swallow,45,1
-34.2,-131.45,Goose,21,1
-34.2,-61.39,Warbler,24,1
-34.2,104.16,Warbler,57,1
-34.18,96.4,Goose,68,1
-34.17,-11.0,Eagle,23,1
-34.11,23.95,Swallow,14,1
-34.11,175.94,Stork,95,1
-34.1,-90.74,Hawk,17,1
-34.06,31.97,Crane,75,1
-34.06,105.21,Swallow,27,1
-34.04,93.07,Swallow,81,1
-34.02,-100.35,Swallow,3,1
-34.0,-98.02,Hawk,14,1
-34.0,38.37,Warbler,28,1
-33.98,-76.6,Goose,23,1
-33.98,-13.6,Swallow,38,1
-33.98,4.16,Hawk,95,1
-33.96,-178.9,Hawk,74,1
-33.96,28.91,Swallow,36,1
-33.96,115.4,Warbler,61,1
-33.96,166.48,Warbler,89,1
-33.95,150.62,Swallow,16,1
-33.92,-0.56,Swallow,46,1
-33.86,55.58,Eagle,8,1
-33.86,169.5,Crane,84,1
-33.85,-31.94,Goose,88,1
-33.84,-60.22,Warbler,27,1
-33.77,-110.6,Goose,79,1
-33.76,-34.77,Swallow,91,1
-33.76,89.61,Eagle,60,1
-33.75,159.82,Hawk,53,1
-33.74,-2.84,Hawk,52,1
-33.71,-142.06,Warbler,56,1
-33.71,112.8,Hawk,15,1
-33.69,121.52,Hawk,4,1
-33.68,-103.55,Hawk,8,1
-33.67,-134.51,Hawk,74,1
-33.65,-60.5,Warbler,28,1
-33.62,75.81,Goose,88,1
-33.61,-105.57,Swallow,64,1
-33.61,-80.88,Stork,29,1
-33.59,-83.6,Swallow,51,1
-33.54,-54.95,Stork,50,1
-33.52,-99.08,Warbler,15,1
-33.52,-93.63,Stork,19,1
-33.5,61.96,Warbler,2,1
-33.47,36.25,Warbler,10,1
-33.46,31.37,Goose,96,1
-33.44,34.17,Eagle,57,1
-33.44,61.94,Stork,84,1
-33.4,-89.48,Warbler,16,1
-33.4,61.92,Hawk,56,1
-33.38,78.5,Crane,91,1
-33.38,166.59,Hawk,79,1
-33.35,167.18,Crane,71,1
-33.33,-91.65,Eagle,97,1
-33.33,63.79,Crane,15,1
-33.31,55.18,Hawk,40,1
-33.28,-139.76,Eagle,61,1
-33.28,79.84,Crane,57,1
-33.27,73.57,Swallow,13,1
-33.26,-104.15,Crane,95,1
-33.26,-95.13,Goose,97,1
-33.25,160.06,Swallow,32,1
-33.24,-99.79,Eagle,16,1
-33.17,49.7,Stork,67,1
-33.16,-25.97,Stork,49,1
-33.16,21.03,Hawk,54,1
-33.16,68.36,Warbler,32,1
-33.14,151.24,Stork,91,1
-33.13,-54.29,Swallow,84,1
-33.13,126.56,Stork,11,1
-33.11,-163.5,Warbler,54,1
-33.11,94.23,Hawk,28,1
-33.09,-56.56,Hawk,52,1
-33.03,111.67,Goose,23,1
-33.02,-120.82,Crane,11,1
-33.0,152.39,Swallow,77,1
-32.99,79.11,Hawk,86,1
-32.97,-82.14,Goose,38,1
-32.96,161.85,Hawk,26,1
-32.95,137.56,Goose,60,1
-32.94,-114.86,Swallow,27,1
-32.93,-176.56,Stork,68,1
-32.93,-8.38,Warbler,67,1
-32.92,-159.37,Warbler,2,1
-32.82,-13.28,Goose,70,1
-32.8,-173.56,Eagle,36,1
-32.75,26.76,Eagle,86,1
-32.75,138.15,Eagle,63,1
-32.73,127.77,Warbler,94,1
-32.72,-17.29,Hawk,29,1
-32.71,44.9,Swallow,41,1
-32.7,-132.78,Warbler,40,1
-32.7,82.26,Stork,79,1
-32.68,-171.1,Crane,67,1
-32.68,156.07,Warbler,81,1
-32.66,90.36,Swallow,83,1
-32.66,103.06,Eagle,44,1
-32.64,-92.82,Hawk,35,1
-32.63,-57.73,Warbler,87,1
-32.62,-43.62,Crane,67,1
-32.58,-89.07,Eagle,98,1
-32.55,-174.44,Warbler,13,1
-32.54,-41.08,Stork,7,1
-32.54,95.76,Stork,40,1
-32.52,-154.63,Goose,87,1
-32.52,-93.56,Stork,21,1
-32.52,50.94,Hawk,89,1
-32.51,-111.63,Hawk,96,1
-32.5,-89.61,Eagle,76,1
-32.49,-3.74,Warbler,2,1
-32.48,-45.84,Warbler,38,1
-32.43,-111.97,Warbler,75,1
-32.43,129.39,Hawk,55,1
-32.39,-0.33,Warbler,96,1
-32.33,-167.56,Crane,78,1
-32.33,-1.73,Eagle,19,1
-32.33,137.96,Warbler,76,1
-32.32,145.67,Eagle,58,1
-32.3,41.33,Hawk,64,1
-32.28,-50.56,Warbler,98,1
-32.24,-99.67,Warbler,37,1
-32.23,17.57,Eagle,17,1
-32.22,-162.66,Warbler,18,1
-32.22,-61.02,Goose,52,1
-32.21,156.19,Eagle,63,1
-32.15,52.47,Crane,47,1
-32.15,178.93,Goose,61,1
-32.1,97.97,Hawk,37,1
-32.05,-143.57,Hawk,93,1
-32.03,22.31,Hawk,26,1
-32.01,-115.51,Swallow,79,1
-31.98,163.82,Stork,33,1
-31.97,47.99,Stork,21,1
-31.96,-18.05,Swallow,34,1
-31.95,-151.62,Goose,20,1
-31.95,-52.48,Stork,67,1
-31.94,-60.07,Goose,52,1
-31.93,-42.17,Warbler,95,1
-31.91,-132.48,Goose,11,1
-31.91,39.25,Crane,40,1
-31.88,-96.4,Warbler,58,1
-31.88,-56.15,Crane,61,1
-31.88,-28.35,Hawk,22,1
-31.88,-18.45,Warbler,9,1
-31.87,-165.67,Stork,46,1
-31.83,-9.62,Crane,12,1
-31.82,-10.25,Crane,13,1
-31.81,173.56,Stork,80,1
-31.79,-59.38,Stork,75,1
-31.79,55.14,Warbler,69,1
-31.79,86.04,Eagle,92,1
-31.79,124.3,Stork,32,1
-31.78,-155.05,Crane,1,1
-31.75,20.83,Eagle,53,1
-31.74,44.08,Hawk,41,1
-31.73,-174.41,Hawk,96,1
-31.71,-83.93,Goose,18,1
-31.71,101.48,Swallow,22,1
-31.68,-75.75,Warbler,23,1
-31.64,-100.94,Stork,74,1
-31.59,-175.58,Goose,47,1
-31.58,126.1,Swallow,19,1
-31.57,-6.79,Stork,79,1
-31.56,-159.14,Goose,40,1
-31.56,8.8,Eagle,24,1
-31.55,-124.41,Goose,13,1
-31.54,172.14,Hawk,99,1
-31.52,46.13,Swallow,32,1
-31.51,131.59,Crane,39,1
-31.46,59.7,Warbler,5,1
-31.44,-166.49,Goose,98,1
-31.44,4.57,Eagle,71,1
-31.43,117.36,Eagle,17,1
-31.42,-178.49,Swallow,59,1
-31.42,-140.55,Eagle,41,1
-31.42,-78.62,Crane,69,1
-31.41,-55.27,Eagle,57,1
-31.37,50.68,Goose,24,1
-31.36,-179.99,Hawk,93,1
-31.36,160.08,Goose,3,1
-31.34,36.03,Swallow,64,1
-31.32,-38.54,Warbler,17,1
-31.29,-23.16,Warbler,1,1
