Bird_ID,Species,Region,Habitat,Weather_Condition,Migration_Reason,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Flight_Distance_km,Flight_Duration_hours,Average_Speed_kmph,Max_Altitude_m,Min_Altitude_m,Temperature_C,Wind_Speed_kmph,Humidity_%,Pressure_hPa,Visibility_km,Nesting_Success,Tag_Battery_Level_%,Signal_Strength_dB,Migration_Start_Month,Migration_End_Month,Rest_Stops,Predator_Sightings,Tag_Type,Migrated_in_Flock,Flock_Size,Food_Supply_Level,Tracking_Quality,Migration_Interrupted,Interrupted_Reason,Tagged_By,Tag_Weight_g,Migration_Success,Recovery_Location_Known,Recovery_Time_days,Observation_Counts,Observation_Quality
B1850,Stork,Europe,Mountain,Windy,Breeding,83.10347914,-11.15007738,-53.9784649,86.28568543,2389.95,40.8,51.97,5926,898,1.3,23.9,73,951.5,3.5,No,20,-73.7,Mar,Oct,13,2,GPS,No,499,Low,Excellent,Yes,Storm,Researcher_A,26.2,Failed,Yes,116,96,Low
B1980,Eagle,North America,Mountain,Foggy,Avoid Predators,-2.924252698,-110.887415,-74.43272735,91.58192647,2371.35,40.8,53.24,4947,578,3.4,52.5,51,986,8.9,No,41,-61.6,Nov,Jun,11,4,Radio,Yes,388,High,Fair,No,Storm,Researcher_A,20,Failed,No,76,41,Low
B5165,Warbler,Australia,Urban,Clear,Climate Change,33.76845195,-6.699481092,-37.91601767,-69.6084712,2325.91,40.8,57.63,6189,446,-1.9,36.5,55,983.4,14.1,Yes,52,-80.2,Nov,Nov,10,2,Satellite,Yes,428,Low,Poor,No,Lost Signal,Researcher_C,7.8,Successful,No,84,7,Moderate
B7818,Eagle,Asia,Mountain,Rainy,Feeding,52.20940833,-37.84814416,-55.34806705,83.30052945,2426.13,40.8,53.47,3703,640,-8.8,16.7,29,972.1,2.9,No,73,-69.7,Feb,Jun,8,2,Satellite,No,349,High,Fair,Yes,N/A,Researcher_C,18,Successful,No,87,91,High
B5920,Goose,South America,Grassland,Clear,Feeding,-73.02070561,-22.04287934,-63.84628473,90.91830935,3009.46,40.8,56.49,3596,654,29.8,8.3,57,988,9.2,Yes,22,-64.5,Mar,Apr,13,1,Satellite,No,9,Low,Good,No,Injury,Researcher_A,26,Failed,No,109,37,Low
B6416,Warbler,Asia,Forest,Stormy,Avoid Predators,10.68879132,-156.2134354,-1.571256638,-128.124057,2436.68,40.8,46.44,3664,570,8.6,12.5,35,1021.8,2.5,No,30,-73.9,Apr,Nov,8,9,Satellite,Yes,215,High,Fair,Yes,Injury,Researcher_A,28,Failed,No,59,33,High
B6662,Hawk,Asia,Forest,Stormy,Climate Change,68.3696693,-51.37755547,-75.11798552,-125.1388335,2157.56,40.8,51.87,3801,457,28.6,10.3,28,978.9,1.6,No,92,-59.6,Oct,Mar,2,5,GPS,Yes,290,High,Fair,Yes,N/A,Researcher_A,25.1,Successful,Yes,114,63,High
B9646,Stork,Asia,Urban,Windy,Feeding,-72.15296253,88.89462399,-15.4971511,120.393126,2659.69,40.8,45.63,8991,647,18,20.5,63,1032.4,13,No,62,-82.8,Feb,Mar,4,5,Radio,Yes,174,High,Excellent,Yes,N/A,Researcher_A,27.5,Failed,Yes,101,40,Moderate
B5376,Stork,Australia,Urban,Windy,Breeding,10.61499617,-28.39482968,76.79717492,55.11161039,2710.77,40.8,48.11,8692,366,20,27.8,94,1009.7,5.4,No,10,-69.9,Nov,Dec,9,6,Radio,No,180,Medium,Fair,Yes,Lost Signal,Researcher_B,5.9,Successful,No,14,67,Low
B10771,Eagle,Asia,Urban,Rainy,Feeding,72.20151591,-46.55906741,10.55399571,69.69868695,2694.22,40.8,52.34,5160,223,20.7,40.5,37,1040.8,19.9,Yes,64,-85.9,Nov,Nov,6,8,Satellite,Yes,177,Medium,Good,No,Lost Signal,Researcher_A,19.7,Failed,Yes,108,4,Moderate
B8017,Hawk,Africa,Wetland,Clear,Avoid Predators,81.03741716,-10.36689994,57.13028356,-9.694606089,2510.93,40.8,48.45,2362,274,8.8,3.5,38,985.6,6.7,No,49,-72.2,Jan,Jun,7,1,GPS,No,343,High,Excellent,Yes,Storm,Researcher_C,24.5,Successful,Yes,72,6,High
B8071,Goose,Asia,Coastal,Clear,Climate Change,-85.61374332,86.22489847,-34.99800819,159.8312999,2649.75,40.8,59.92,6408,235,28.3,26.6,55,950.1,17.5,No,32,-78.3,Nov,Mar,11,0,GPS,Yes,196,High,Excellent,No,Predator,Researcher_A,19.2,Failed,No,49,69,High
B8448,Swallow,Asia,Coastal,Foggy,Feeding,10.03329651,-157.4186074,-89.27532295,75.54652193,3024.13,40.8,47.69,8982,861,33.4,2.6,87,968.4,16.2,Yes,98,-53,Jan,Mar,11,1,GPS,No,341,High,Good,Yes,Predator,Researcher_C,10.1,Failed,Yes,115,96,Low
B8884,Swallow,South America,Forest,Foggy,Feeding,7.046801411,122.1115783,16.3478076,-165.8582125,1665.8,40.8,52.78,1339,430,21.2,41.8,56,1036.1,19.3,No,14,-73.9,Jan,Mar,8,9,Radio,Yes,328,Medium,Fair,Yes,N/A,Researcher_A,6.2,Successful,Yes,91,99,High
B9033,Goose,Australia,Coastal,Foggy,Avoid Predators,-49.94328112,3.19352227,-4.307234311,-107.8482118,2169.37,40.8,53.31,2763,724,33.1,3.9,82,1008.2,2.1,Yes,26,-59.8,Sep,Apr,1,2,Radio,Yes,368,Medium,Excellent,No,N/A,Researcher_C,15.3,Successful,Yes,10,40,High
B9202,Warbler,South America,Coastal,Foggy,Avoid Predators,-15.80299875,-110.8682091,50.72217816,-138.5923287,2126.2,40.8,46.86,5465,781,30.8,35.3,62,984.6,7.5,No,30,-78.2,Nov,May,4,3,GPS,No,115,Medium,Good,Yes,Storm,Researcher_A,15.8,Failed,No,27,93,Moderate
B9598,Hawk,Africa,Urban,Clear,Breeding,58.84868731,-107.1200591,-73.32120752,-11.40328531,2621.81,40.8,54.67,3769,706,31.5,33.1,68,986.9,18.6,No,80,-64.2,Apr,Apr,6,1,Radio,Yes,452,High,Poor,No,Storm,Researcher_A,9.7,Successful,No,69,18,High
B9604,Hawk,North America,Coastal,Foggy,Climate Change,-60.6413899,-154.510447,32.86813997,-15.34478752,2139.86,40.8,54.06,6005,577,-1.3,42.2,46,1038,18.3,No,58,-48.3,Jan,Mar,1,9,Radio,No,310,Low,Good,Yes,N/A,Researcher_C,24.6,Failed,Yes,57,63,Low
B9754,Hawk,Australia,Mountain,Windy,Feeding,-31.28451861,49.23528698,8.86679664,-146.635718,2611.62,40.8,44.23,2383,380,-4.3,4.2,83,954.3,4.4,Yes,12,-70.7,Nov,Jun,13,2,Satellite,No,323,Medium,Good,Yes,Injury,Researcher_B,24.6,Successful,Yes,109,36,Moderate
B10376,Goose,Africa,Grassland,Foggy,Climate Change,72.93692373,-45.34565775,-64.50649737,66.78527124,2668.59,40.8,57.1,2875,248,22.3,14,75,990.5,8,Yes,44,-76.5,May,Jun,5,6,Radio,Yes,91,Low,Fair,Yes,N/A,Researcher_A,22.1,Successful,Yes,96,99,Moderate
B10516,Warbler,North America,Coastal,Rainy,Breeding,-15.67177926,161.3153616,3.660036948,78.89006429,2986.23,40.8,52.67,2585,435,27.6,33.6,64,951.7,14.2,No,90,-64.9,Mar,Dec,13,5,Radio,No,474,Medium,Fair,Yes,N/A,Researcher_C,23.9,Failed,Yes,72,45,Low
B8720,Stork,North America,Grassland,Stormy,Avoid Predators,26.45687136,-74.67735965,21.94250729,-160.4042705,1432.23,40.9,49.69,4576,204,34.4,37.3,50,1021,4.7,Yes,69,-66.4,May,May,13,3,GPS,No,262,High,Excellent,Yes,Injury,Researcher_A,14,Failed,No,8,67,Low
B1583,Hawk,Asia,Mountain,Windy,Feeding,-48.69387752,128.0643855,-1.007991125,-172.1501977,2361.23,40.9,44.29,5772,304,-1.6,47.7,53,964.5,3.7,Yes,10,-61,Nov,Apr,2,5,Satellite,No,120,Low,Poor,Yes,Lost Signal,Researcher_A,25.4,Failed,No,18,30,Moderate
B1669,Swallow,South America,Forest,Clear,Breeding,-23.82893733,13.42374703,-42.9296895,-25.03752337,2748.07,40.9,46.03,9686,230,27.5,25.2,32,993.6,13.6,Yes,68,-69,May,Oct,3,2,Satellite,No,354,Medium,Fair,Yes,Predator,Researcher_A,22.9,Failed,No,58,87,Low
B1881,Goose,Europe,Coastal,Clear,Avoid Predators,49.18365059,168.5231285,31.85345661,89.32217483,2537.93,40.9,50.67,2080,120,22,33,63,987,16.2,Yes,59,-71.5,Apr,Nov,3,2,GPS,Yes,219,Medium,Poor,Yes,Predator,Researcher_A,22,Successful,Yes,45,99,Moderate
B2181,Warbler,Africa,Grassland,Windy,Climate Change,-54.99675221,156.5207667,88.98841216,-165.5031946,1499.05,40.9,61.83,4292,289,8.7,34.1,75,1041.1,14.9,Yes,46,-78.1,Nov,Jun,1,6,GPS,No,228,Medium,Poor,No,Injury,Researcher_C,27,Successful,No,80,63,Moderate
B2304,Swallow,North America,Coastal,Stormy,Climate Change,63.84206091,-126.1906347,52.07403147,-93.22423692,2454.95,40.9,42.38,3467,113,3.7,56.9,96,965.2,2.2,No,89,-85,May,May,10,5,Radio,Yes,21,Medium,Excellent,No,Storm,Researcher_A,17.1,Successful,No,113,68,Moderate
B2720,Crane,Asia,Wetland,Rainy,Breeding,-24.97263196,-14.87144121,86.80954773,-99.16133931,2369.78,40.9,44.16,8801,565,29.1,4.8,90,969.6,12.4,No,64,-83.5,Nov,Dec,7,7,Satellite,No,207,High,Poor,No,Predator,Researcher_C,22.7,Failed,Yes,11,27,Moderate
B2764,Hawk,Asia,Urban,Foggy,Climate Change,63.96340302,21.26577268,-49.90163551,-91.34735292,2611.69,40.9,52.99,8015,729,26.5,40.5,65,1024.8,14,Yes,65,-82.3,Oct,Dec,7,0,Radio,No,286,Low,Fair,Yes,Injury,Researcher_B,27.1,Successful,No,70,25,Low
B2766,Warbler,North America,Coastal,Foggy,Breeding,-20.56541473,30.67252656,-53.40951378,127.7311916,1948.4,40.9,56.72,5047,316,18.7,8.5,75,969.4,12.6,Yes,54,-51.4,Jan,Mar,14,6,Satellite,Yes,386,Low,Good,Yes,Storm,Researcher_B,25.9,Successful,Yes,57,70,Low
B6792,Stork,Africa,Forest,Foggy,Climate Change,-18.23457257,-129.3857367,-85.21248022,-125.9797789,2196.38,40.9,50.5,1220,599,13.3,55,79,1005.2,14.1,Yes,10,-78.8,Apr,Dec,2,4,Satellite,Yes,390,Medium,Fair,Yes,Injury,Researcher_B,12.3,Failed,Yes,62,27,High
B3555,Warbler,Asia,Coastal,Rainy,Climate Change,32.98876395,-93.7582416,41.61807882,-2.230973019,2692.99,40.9,49.76,7645,786,8.8,12.6,31,985.3,6,Yes,67,-79.1,Jan,Oct,1,2,GPS,No,334,High,Fair,No,Predator,Researcher_C,16.9,Failed,No,60,55,Moderate
B1659,Stork,South America,Forest,Clear,Avoid Predators,59.58277255,60.57625326,-76.75238772,24.26712425,2240.46,40.9,48.63,7388,424,-8.4,41.1,52,983.3,11.2,Yes,26,-65.6,Oct,May,10,0,Satellite,No,168,Low,Fair,Yes,Storm,Researcher_A,8.7,Failed,Yes,86,62,Low
B5378,Eagle,South America,Forest,Foggy,Breeding,7.05322575,-175.1894455,80.47458864,120.565289,2282.97,40.9,47.83,1050,875,24.1,2.7,59,1028.7,19.2,Yes,15,-64.8,Feb,Mar,7,2,GPS,Yes,333,Medium,Good,Yes,Lost Signal,Researcher_C,29.7,Failed,No,106,3,High
B5106,Goose,Asia,Urban,Foggy,Climate Change,28.70124957,124.2762431,58.33108672,79.26008552,2971.54,40.9,48.1,1669,574,-9.4,42.3,41,1031.4,17.3,No,94,-63.7,Sep,Apr,4,9,Satellite,Yes,12,Low,Fair,No,N/A,Researcher_C,11.8,Successful,Yes,59,96,Moderate
B5467,Swallow,Africa,Coastal,Rainy,Breeding,63.95072098,46.29417388,60.51495909,91.9957254,2548.75,40.9,54.82,4421,265,0.6,3.9,18,982.5,14.6,No,27,-82.9,Jan,Oct,2,5,GPS,Yes,263,Low,Fair,Yes,Storm,Researcher_B,15.9,Successful,Yes,18,9,High
B6396,Warbler,North America,Wetland,Windy,Avoid Predators,12.45591939,-117.1420018,-77.00982286,0.041080965,3704.04,40.9,53.34,1737,453,2.4,31.5,17,950.7,14.4,Yes,88,-50.8,Apr,Nov,1,3,Radio,No,468,High,Fair,No,Lost Signal,Researcher_C,21,Successful,Yes,45,41,Low
B6873,Goose,Asia,Grassland,Rainy,Feeding,-58.73395212,153.8516567,-58.26415508,112.0498462,1298.87,40.9,47.52,6734,596,6.3,45.9,81,1041.9,1.5,Yes,73,-73.1,Oct,Mar,2,7,GPS,Yes,55,Medium,Excellent,No,Storm,Researcher_B,21.2,Successful,No,20,48,Low
B7055,Swallow,Asia,Grassland,Windy,Feeding,53.3955815,-154.5419576,28.44618206,-158.9564358,1896.69,40.9,49.62,4710,653,31.5,52.9,97,1001.2,18.5,Yes,88,-61.5,May,Mar,12,9,Radio,No,23,Low,Poor,Yes,Lost Signal,Researcher_A,13.5,Successful,Yes,41,73,Low
B5151,Eagle,Asia,Grassland,Foggy,Avoid Predators,84.24119812,134.2973793,3.81164189,-45.48660374,2653.36,40.9,41.17,9398,722,13.1,56.9,29,1045,1.4,No,62,-64.8,Sep,Mar,3,6,Radio,Yes,303,Medium,Good,No,Lost Signal,Researcher_A,11.9,Failed,No,24,57,Moderate
B7245,Swallow,Australia,Grassland,Foggy,Avoid Predators,-4.770803643,90.59496647,-48.47370605,87.09804176,3112.89,40.9,45.51,3392,840,-5.8,16.3,51,962.1,6.8,No,11,-50.3,Jan,Nov,6,7,GPS,Yes,196,Low,Fair,Yes,Predator,Researcher_A,13.7,Failed,No,37,72,High
B10739,Eagle,North America,Wetland,Stormy,Breeding,-50.15930255,-142.5753335,-60.56355075,14.26939557,2696.73,40.9,46.46,5487,204,25.4,15.2,59,980.1,17.3,Yes,13,-76.8,Nov,Nov,10,2,Satellite,No,372,High,Poor,Yes,N/A,Researcher_B,14.9,Successful,No,60,49,High
B8344,Crane,Asia,Forest,Windy,Breeding,-40.65528354,-89.09996082,14.43423648,96.96179206,2373.89,40.9,48.15,4836,781,30.1,59.7,10,1049.4,8.8,No,56,-68.6,Jan,Dec,12,2,Satellite,No,100,Low,Good,Yes,Lost Signal,Researcher_A,8.8,Failed,No,110,69,Moderate
B6138,Eagle,South America,Urban,Rainy,Breeding,6.939765118,130.2263649,4.420355473,72.69937967,2839.64,40.9,55.04,9650,802,19.9,55.4,78,975.7,13,Yes,67,-59.5,Nov,May,7,4,Radio,No,243,Medium,Poor,No,Injury,Researcher_A,29.9,Successful,Yes,94,70,Moderate
B8702,Swallow,South America,Urban,Foggy,Avoid Predators,-27.45522891,67.88468921,33.05921805,171.7466309,2578.18,40.9,51.98,2529,503,29.1,42.9,89,1048.1,15.4,No,67,-66.8,Feb,May,8,4,Radio,Yes,372,Low,Poor,Yes,Injury,Researcher_A,20.3,Failed,No,105,54,Low
B8930,Goose,Asia,Mountain,Rainy,Climate Change,-34.40174254,-59.6916901,67.58202375,43.38016579,2191.6,40.9,49.59,7281,404,-3.3,10.3,93,950.5,15.2,Yes,81,-78,Feb,Jun,11,3,GPS,Yes,425,High,Excellent,No,Injury,Researcher_C,6.6,Failed,No,20,44,Low
B9280,Goose,Asia,Urban,Foggy,Avoid Predators,-55.70047038,-32.8253503,-59.3759898,126.587916,2693.52,40.9,54.38,7323,678,8.9,48.7,53,984.4,6.5,Yes,81,-59.6,Mar,May,11,1,Radio,Yes,83,Low,Fair,Yes,Predator,Researcher_A,11.1,Successful,Yes,59,92,High
B5803,Stork,Africa,Mountain,Rainy,Climate Change,-10.88039771,-41.14393031,13.52721754,-153.5551863,3037.06,40.9,55.93,8995,372,26.8,48.3,44,1044.5,8.9,No,85,-89.5,Oct,Nov,7,9,Radio,Yes,205,High,Excellent,No,Predator,Researcher_B,12.7,Failed,No,30,16,Moderate
B9620,Swallow,Africa,Forest,Foggy,Breeding,-9.951679547,21.90964505,8.352340921,-58.97305499,2538.32,40.9,43.25,2068,430,3.6,58.4,16,1032.6,7.5,Yes,11,-64.6,Feb,Dec,14,8,Radio,No,381,Low,Excellent,No,N/A,Researcher_B,15.1,Successful,No,111,94,Low
B2338,Eagle,Europe,Mountain,Stormy,Avoid Predators,88.78555281,124.6403506,28.83071669,-165.4382932,3090.46,40.9,48.11,2085,629,-5.8,56.5,25,977.4,19.1,No,28,-77.8,Feb,Dec,2,7,Satellite,No,398,High,Poor,No,Predator,Researcher_B,28,Failed,No,99,13,High
B10271,Warbler,South America,Mountain,Rainy,Climate Change,86.24657997,-109.7445125,-57.23259986,122.5788743,2244.15,40.9,53.12,5977,589,-4.5,30.2,75,1036.4,15.2,No,40,-67,Jan,Apr,3,2,GPS,Yes,389,Low,Fair,No,N/A,Researcher_A,21,Successful,No,97,91,High
B4036,Stork,Australia,Coastal,Windy,Breeding,-66.56966198,167.1178351,-37.60765273,74.38604849,3327.84,40.9,53.97,7797,348,9.3,3.2,48,1002.2,1.2,No,93,-73.2,Oct,Apr,8,2,Radio,No,473,High,Fair,Yes,Storm,Researcher_B,24.6,Successful,Yes,58,92,Low
B1565,Crane,North America,Mountain,Windy,Climate Change,3.869098091,47.33257874,-89.86234206,-53.93206746,1367.94,41,48.37,4611,223,28.1,13.7,98,1002.6,11.3,Yes,26,-88,May,Apr,3,2,GPS,No,388,Medium,Fair,No,Predator,Researcher_C,28.6,Failed,Yes,69,93,High
B1568,Swallow,South America,Grassland,Rainy,Feeding,-63.21450543,156.9018195,61.97944518,-0.856096937,2453,41,49.78,6977,329,7.6,16,16,954,6.6,Yes,64,-78.4,Sep,Oct,10,1,Satellite,No,274,High,Poor,No,Predator,Researcher_B,20.2,Failed,Yes,109,52,Moderate
B2405,Warbler,South America,Mountain,Foggy,Climate Change,-32.72905064,127.7699729,-62.75873031,62.66297473,2366.65,41,46.61,2935,752,26.7,54,93,1012,14.3,No,58,-66.2,May,Dec,5,9,Radio,No,484,Medium,Fair,No,Injury,Researcher_A,21.3,Failed,No,69,94,High
B7251,Eagle,Asia,Wetland,Clear,Climate Change,85.60750601,7.05318344,68.30053775,-107.3455654,2111.15,41,52.26,6996,491,6.7,13.5,57,990.8,5,Yes,77,-63.2,Oct,Jun,6,5,Radio,Yes,379,Medium,Good,Yes,Predator,Researcher_B,15.5,Successful,No,59,24,Low
B10167,Stork,North America,Mountain,Foggy,Climate Change,-50.5329521,-2.051933428,-45.60175738,93.47030838,2150.73,41,53.78,9459,884,4,52.3,42,989.3,15.8,Yes,41,-64.4,May,Jun,13,6,Radio,Yes,59,Low,Poor,No,Predator,Researcher_B,24.6,Successful,No,82,83,High
B3490,Hawk,North America,Wetland,Stormy,Breeding,14.58984941,56.2571819,-81.06888577,-100.6352701,1847.75,41,47.1,6082,715,-2,24.3,15,1038.7,4,No,18,-72.5,Mar,Mar,13,0,GPS,No,102,Medium,Fair,Yes,Predator,Researcher_A,28.4,Failed,Yes,41,13,Low
B3668,Warbler,Australia,Forest,Windy,Feeding,-29.32852752,-151.1777816,-53.74938773,-166.5863665,1469.23,41,51.24,9000,701,0.9,18.1,70,990.5,13.9,No,14,-71.2,Jan,Nov,9,9,Satellite,No,45,Medium,Good,No,N/A,Researcher_A,28.8,Failed,Yes,58,55,High
B3942,Hawk,South America,Forest,Stormy,Breeding,28.17191681,-150.3621506,-74.27813828,-85.65699803,2751.86,41,46.37,1052,764,29.2,44.4,62,983.3,18.6,No,80,-53.9,Sep,Jun,12,2,Satellite,No,493,Medium,Good,No,Storm,Researcher_B,15,Failed,Yes,111,58,High
B4188,Hawk,North America,Mountain,Rainy,Avoid Predators,45.91538344,143.6176785,-11.50140492,171.8196499,2584.31,41,53.04,7544,808,1.9,58.8,12,1021.1,2.9,Yes,52,-67.9,Mar,Nov,9,4,Satellite,No,296,High,Fair,No,N/A,Researcher_C,25.9,Failed,No,21,12,Moderate
B4410,Hawk,Australia,Forest,Clear,Climate Change,-65.74592454,98.04819099,25.74212471,146.6620327,2333.75,41,49.82,6012,826,3.6,6.6,25,1015.9,18.9,Yes,51,-54.7,Jan,May,9,5,Radio,No,371,Medium,Poor,No,Storm,Researcher_A,11.1,Successful,No,6,70,Low
B4602,Swallow,Europe,Coastal,Stormy,Breeding,8.265681251,-44.80588784,-32.18458434,-168.269099,3289.95,41,51.15,7849,403,-4.4,14.3,26,1040.6,13.1,Yes,78,-70.8,Feb,Dec,12,7,GPS,No,3,Low,Good,Yes,Injury,Researcher_B,15.1,Failed,Yes,75,13,Moderate
B4852,Crane,North America,Grassland,Rainy,Avoid Predators,-82.19883823,58.625713,19.88798449,100.0711694,1933.62,41,49.35,2673,565,6.8,25,64,984.4,16.6,Yes,10,-73.4,Apr,Oct,13,6,Radio,No,473,High,Poor,Yes,Lost Signal,Researcher_C,22.2,Successful,Yes,34,7,High
B7823,Eagle,Australia,Mountain,Clear,Feeding,26.71562664,-102.5306164,-4.742969271,94.70398951,2522.99,41,44.27,3353,842,27.7,26.9,60,950.4,7.4,Yes,25,-61.4,Sep,Oct,3,0,GPS,Yes,126,High,Fair,Yes,Predator,Researcher_C,16,Successful,No,119,94,Moderate
B3754,Stork,South America,Forest,Rainy,Feeding,12.20345944,2.304262655,-43.89649315,0.013599279,2583.52,41,55.84,1697,491,9.4,51.5,77,984.4,4.9,No,15,-69,Mar,Jun,6,1,Radio,No,98,Medium,Fair,No,Predator,Researcher_A,17.3,Failed,Yes,92,97,High
B5810,Stork,Africa,Mountain,Clear,Climate Change,-53.52268117,137.7176541,72.95174315,-71.1786601,2586.79,41,54.99,9855,135,-7.8,57.1,59,976.5,8,No,40,-61.6,Nov,Apr,1,7,Radio,No,119,Low,Good,No,Lost Signal,Researcher_C,30,Failed,No,1,1,Low
B6586,Goose,North America,Forest,Clear,Avoid Predators,16.77733359,-80.1276605,58.7252043,163.0471737,3484.07,41,49.46,6539,746,33.5,10.5,90,1043.9,10.3,Yes,38,-63.9,Oct,Apr,13,0,Satellite,No,446,Low,Excellent,Yes,Injury,Researcher_A,18.9,Failed,Yes,50,96,High
B7466,Hawk,Asia,Wetland,Stormy,Feeding,60.10271116,28.12963846,61.66856729,102.9917402,2098.54,41,44.89,6526,125,28.4,46.5,17,967.8,2.9,No,95,-78.1,Jan,Dec,6,1,Radio,No,202,High,Fair,Yes,N/A,Researcher_A,6.9,Successful,No,17,92,Moderate
B7548,Crane,Australia,Wetland,Stormy,Breeding,-30.02755626,59.4863817,55.81461533,-147.3193919,2484.04,41,43.98,8377,570,6.3,6.8,83,1011.1,5.5,Yes,45,-64.7,Nov,Jun,9,0,Satellite,No,306,Medium,Fair,Yes,Injury,Researcher_A,27,Successful,No,45,40,High
B10296,Eagle,Australia,Urban,Rainy,Breeding,9.798763769,-52.94538864,37.94312054,-90.15095382,2774.2,41,45.98,9452,657,-0.5,44.4,25,1042.7,2,Yes,41,-72.7,Feb,May,7,1,Satellite,No,69,Medium,Poor,No,Predator,Researcher_B,25.4,Successful,No,64,31,High
B10550,Eagle,South America,Urban,Rainy,Climate Change,-19.61005013,-55.52460604,-1.534132428,84.69655291,2818.87,41,48.03,5623,386,-3.2,12.4,83,993.1,15.9,No,43,-44.8,Apr,Nov,3,9,Satellite,No,250,High,Excellent,No,N/A,Researcher_C,10.2,Successful,No,34,21,Moderate
B8306,Goose,Asia,Forest,Rainy,Avoid Predators,-2.5594905,167.6941466,70.09105453,43.3286218,2302.1,41,53.01,7937,403,28,51.2,40,992.7,14.8,No,33,-61.8,Mar,Jun,1,9,GPS,Yes,342,Medium,Poor,No,N/A,Researcher_A,21.2,Failed,Yes,68,98,Moderate
B8325,Crane,Europe,Grassland,Foggy,Breeding,-3.729876433,-5.120213538,35.59399182,155.0148143,2625.25,41,51.74,9540,186,10.5,43.3,22,1022.3,9.1,Yes,76,-77.2,Feb,May,12,1,Satellite,No,152,Low,Poor,Yes,Injury,Researcher_C,24.5,Successful,No,104,55,Low
B8883,Hawk,Australia,Wetland,Foggy,Breeding,-64.01165339,11.81045416,41.10204569,-117.7658099,2736.57,41,56.92,6857,591,18,26.2,97,1042.7,18.2,No,75,-68.4,Jan,May,11,6,Radio,Yes,227,Low,Good,No,Storm,Researcher_B,27.8,Failed,No,17,24,Low
B9243,Swallow,Europe,Mountain,Windy,Breeding,84.70247007,-118.2575319,-6.167186829,-54.90324634,3424.66,41,52.43,4541,671,26.7,36.6,57,975,8.7,No,95,-70.8,Jan,Nov,3,1,Satellite,Yes,7,Low,Poor,Yes,Injury,Researcher_C,6.3,Successful,No,9,91,Low
B9542,Stork,South America,Wetland,Windy,Breeding,-51.61839007,39.52034163,22.28766782,151.7301727,3005.88,41,51.27,8894,835,24,28.9,63,1017.2,2,Yes,60,-85.9,Sep,Mar,3,2,Radio,Yes,74,Low,Poor,Yes,N/A,Researcher_A,11.4,Failed,No,18,68,Moderate
B9380,Warbler,South America,Grassland,Rainy,Avoid Predators,-47.64146183,58.91610489,-63.25598057,40.35461342,2920.55,41,61.06,6566,806,-5.4,31.8,12,1031.8,16.3,Yes,49,-81.6,Sep,Apr,3,1,GPS,Yes,314,High,Good,Yes,N/A,Researcher_A,14.9,Failed,Yes,44,59,Moderate
B7589,Stork,South America,Grassland,Rainy,Feeding,50.46091892,153.5025485,34.99452806,36.99615197,3132.19,41,41.66,3729,282,9.4,8.7,88,978.3,14.8,Yes,92,-83,Sep,May,7,2,GPS,Yes,244,Low,Good,No,N/A,Researcher_B,26.4,Successful,No,34,94,High
B1759,Hawk,North America,Forest,Foggy,Climate Change,-86.61415623,107.1229632,9.434750044,-73.03455656,2304.4,41.1,44.69,1320,547,32.2,21.2,61,1041.9,4.9,Yes,20,-65.8,Oct,May,12,1,Satellite,Yes,477,High,Good,Yes,Injury,Researcher_A,19.6,Failed,No,24,67,Moderate
B2246,Crane,Europe,Urban,Stormy,Breeding,87.33214155,-145.6446475,31.90849693,-17.96125815,2518.57,41.1,52.18,9725,731,29.9,5,87,960.2,12.2,No,91,-78.6,Feb,Oct,8,1,Satellite,Yes,386,Medium,Poor,Yes,Lost Signal,Researcher_B,26.9,Failed,Yes,32,86,High
B3156,Swallow,Australia,Grassland,Stormy,Climate Change,-46.90504047,28.64527314,60.37713651,-162.5681067,2037.83,41.1,54.25,3244,119,-1.6,6.1,21,1042.8,2.6,Yes,51,-76,Sep,Oct,13,5,Radio,Yes,428,High,Good,Yes,Storm,Researcher_A,10.8,Failed,No,32,70,Low
B5703,Stork,Asia,Forest,Clear,Breeding,20.31964497,-74.32840376,19.45091247,-170.3496992,2274.85,41.1,38.1,5132,372,23.1,42,13,1012.6,1.1,Yes,39,-73.5,May,Nov,11,7,Satellite,No,117,High,Fair,Yes,Storm,Researcher_C,24,Failed,Yes,111,73,High
B5738,Swallow,Europe,Wetland,Rainy,Breeding,-44.98605492,5.799323875,12.80003995,124.9171735,2958.38,41.1,52.51,7875,656,4.1,43.5,76,978.1,11,No,81,-76.9,Oct,May,2,2,Radio,Yes,82,High,Poor,Yes,Lost Signal,Researcher_C,27.9,Successful,No,84,99,Low
B5937,Hawk,Africa,Mountain,Foggy,Climate Change,19.36282432,-20.61487948,-1.289488303,-135.1712404,1797.59,41.1,52.93,4801,780,13.7,43.4,74,978.9,1.2,Yes,36,-74.6,Feb,Jun,11,8,Radio,Yes,402,Medium,Good,Yes,N/A,Researcher_A,15.2,Successful,Yes,110,46,Moderate
B6216,Swallow,North America,Urban,Foggy,Breeding,23.9004558,177.1832863,82.47597501,64.1530059,1183.95,41.1,53.39,8990,320,0.1,3.6,19,1005.1,4.9,No,29,-57.4,Apr,Dec,7,3,Satellite,No,360,High,Excellent,No,Injury,Researcher_C,11.1,Successful,Yes,79,5,Moderate
